comment,date
"De passage au Cameroun, j'ai entendu parlé de cet havre de paix à Oveng, je ne le regrette pas. Accueil chaleureux, le chant des oiseaux, l'air pur et la  gentillesse de la dirigeante. Merci encore pour cet merveilleux séjour.", octobre 2019
"Si vous recherchez une chambre d'hôtes solo à Nkolmetet , alors ovEng Lodge est le choix . Vous y trouverez ce qu’il y’a de plus mauvais, entre le service désagréable et la bouffe.   Tout cela est vraiment perfectible.", octobre 2019
"Lieux rustique, minimum requis pour un séjour agréable absent . Personnel désagréable. Plus jamais De plus ces derniers se permettent n'importe comment aux clients sur leurs réseaux sociaux. Je ne recommande à personne d'aller là bas", juillet 2018
"Le personnel est très sympathique et l'accueil agréable, ce qui tranche avec la gérante fort désagréable. Si le coin est beau et bien situé au cœur de la nature, les services et prestations ne sont pas au niveau, les cabanes prennent l'eau, la nourriture est très perfectible et l'aspect écologique est un mensonge et sert à cacher la vétusté et le délabrement des bungalows.", mars 2019
Endroit sympa mais à éviter absolument. Propriétaire malhonnête qui ne respecte rien même pas les prix indiqués lors de la réservation. Utilise le mot écolodge pour cacher la vétusté des bungalows. Heureusement qu'il y a les 2 personnes qui travaillent. Ne mérite pas d'être sur un guide ni d'accueillir des personnes, janvier 2019
"Le séjour a été agréable vu que j'étais accompagnée seulement hôtel très vetuste.les chambres pas fameuses du tout par contre le personnel est plutôt très accueillant,souriant et chaleureux. En somme, l'hôtel est à refaire sans l'ombre d'un doute...", mars 2018
"Hôtel ayant perdu tout intérêt. Tout doit être refait dans cet hôtel.Une inspection sanitaire serait le bien venu. Fuite d'eau au niveau des toilettes dans la salle de bain (signalé des l'arrivé à l'accueil, mais pas de réaction) , joints du carrelage noirs, climatisation ne pouvant être réglée, fourmis dans les petits pains secs du petit déjeuner, etc... Attente d'1 heure avant d'avoir le petit déjeuner et pourtant il n'y avait personne.", décembre 2017
"hotel  (complexe) de grande capacité disposant d'un grand parc et d'une superbe plage de sable gris activités de plein air nombreuses.  calme et reposant la ville de limbé est à 10 km, elle dispose d'un parc botanique intégrant de très nombreuses variétés d'arbres", décembre 2017
"J’ai passé deux jours pour une mission de travail dans cet hôtel avec deux collègues. Il s’agit d’un complexe vaste avec nombreux bâtiments et bungalows dans un grand jardin sur la plage qui est tombé en situation de presque abandon, peut-être à cause d’une nouvelle gestion qui a totalement négligé l’entretien et le soin des clients. Le chambres sont spacieuses mais tout décor manque : rien que des murs blancs, une salle de bain dépourvue de tout confort (pas de savon, de shampoing, de bain douche..) et dans la mienne le robinet était cassé et inondait la salle quand on l’ouvrait (il a été réparé le deuxième jour de mon séjour) ; les serviettes sont arrivées après des heures après longue insistance à la réception. Le restaurant présente un menu très réduit (voir photo) et de", décembre 2017
"Magnifique séjour passé dans cet excellent endroit. Avec un formidable  personnel  disponible, à l'écoute et très opérationnel. Bravo à la gérante qui a su s'entourer  de cette merveilleuse équipe. In fine, merci. Denise de Lille ", août 2017
"En trois mois cet hotel vient de toucher le fond. J ai séjourné 4 fois en 4 mois dans ce Pullman pour 14 Nuit au total. Mon dernier séjour du 7 au 11 aout a été un cauchemar  à tous les niveaux Service de restaurant nullissime fait part des stagiaires non formés et non encadrés qui ne savent rien , ne comprennent rien. attente interminable pour des consommations au bar et des erreurs dans la prise de commande. Plusieurs plats qui ne sont pas à la carte faute des aliments (saumon fumé  par exemple, mais que les serveurs oublient systématiquement de rappeler plus de capsules de café et donc obligé de boire le café américain du matin Impossible  de commander  un cappuccino. La seule  l addition arrive  sans d'ailleurs qu'on ait à le demander Pour le reste , business center sans", août 2019
"Certes les chambres sont à revoir,mais le staff reste accueillant et disponible.J'ai appris qu'ils ont un nouveau GM et qu'il est surmotivé car il prévoit de faire des retouches dans les chambres et les parties publiques.On dit souvent que la plus belle femme du monde ne peut donner que ce qu'elle a alors j'ai hate de voir ce que ce sera à mon prochain sejour", août 2019
"Merci pour la convivialité , le sourire du personnel .J’ai beaucoup aimé les canapés froids et chauds sans oublier les grillades . Une découverte culinaire exceptionnelle. Merci au commercial et particulièrement à Rhodes .", juillet 2019
"C'est un bon hôtel situé dans un cadre agréable. Malheureusement, il est vieux et n'a pas été rénové. Dans la chambre le téléphone est salle, vieux et il manque un bouton laissant apparaître un trou. La télécommande de la TV est tellement vielle et salle qu'on n'a pas envie de la toucher. Par contre, la chambre était propre. Le lit bien confortable.", juillet 2019
"J'aime les grillades au Madiba, Merci pour le professionnalisme du service Restauration et la convivialité du personnel de l'hôtel,un accueil extraordinaire, ça donne l'envie de revenir, je reviendrai très prochainement", avril 2019
chambre spacieuse mais tarif restauration chere helas et que dire du petit dejeuner si vous partez vers 6 h 30 de l hotel jamais prêt en heure et temps belle piscine eviter les chambres cote parking c est bruyant, mars 2020
"Le site Web ne reflète en rien une réalité déplorable. Équipement vieillissant, rafistolage de part d'autres. Une odeur d'humidité qui vous prends les narines des votre entrée. Un accueil terne. Une chambre relativement spacieuse. Si la literie est acceptable, l'écran tv également, cela s'arrête là. Une climatisation qui fuit dans les toilettes, une robinetterie qui fuit, un évier résine et mal peint. Une restauration buffet offrant un recyclage alimentaire casi quotidien. La liste serait longue et laborieuse. Les photos jointes reflètent tant bien que mal mon désarroi. A éviter ou alors une nuit unique pour s'en rendre compte. Fuyez...!!!! ", janvier 2020
"Hôtel au personnel sympa, très bien situé au cœur de la ville !! En plein centre ville, cet hôtel offre un accès aisé à tous les services dont peut avoir tout voyageur d’affaires dans la ville de Douala ! Très aéré , c’est une destination de choix ! ", octobre 2019
"Hôtel bien tenu avec une belle piscine chambre petite mais propre, absence de savon ? Dommage je recommande cet hotel pour une nuitée et bien sure profiter de cette immense piscine avec un bar en bordure", octobre 2019
Bien placé et toujours classe avec sa grande piscine mais ne correspond plus aux normes auxquelles la clientèle de ce genre d'établissement est habituée ailleurs . C'est le cas de quasi tous les hotels visités de cette période, juillet 2019
Cet endroit a beaucoup de potentiel mais a été négligé pendant une longue période., janvier 2011
"J'ai effectué un séjour du 15 au 18 février 2014 dans cet hôtel.   La première chambre qu'on m'a attribuée était SALE (literie de l'ancien occupant avec cheveux, douche non nettoyée...).  On m'a donné une nouvelle chambre (très propre, cette fois-ci) mais SANS EAU pendant 36 heures (impossibilité de prendre une douche avec des journées à 34°...).  Aucune explication...  A la fin du séjour on me remet la facture normale, comme si rien ne s'était passé.  Je demande alors à voir un responsable. Après une discussion acrimonieuse, j'ai obtenu réduction de 25% du prix, mais absolument aucune marque de sensibilité ni d'empathie.   Cet hôtel est pénalisé par son statut d'établissement administratif : géré par des fonctionnaires, grevé par une masse salariale sous-employée et une", février 2014
"Je viens de rentrer de Yaoundé et j'étais plus que satisfait de mon séjour à l'hôtel. J'ai trouvé le personnel serviable et le petit déjeuner était fantastique, j'ai apprécié le mien sur une terrasse donnant sur le lac tous les matins. Il y a quelques problèmes cosmétiques mais ma chambre était propre et bien faite tous les jours et le lit était confortable avec une bonne climatisation. Je reviendrais avec plaisir lors de ma prochaine visite.", février 2020
"Je suis arrivé à l'hôtel vers 22 h 00 le 12 décembre, on m'avait dit que le restaurant était tout près et que personne ne se souciait vraiment me trouver quelque chose à manger donc j'ai dormi sur l'estomac vide même si certains membres du personnel de cuisine sont disponibles. Ils n'ont pas l'hôpital. Cependant, il y avait quelques personnes agréables.", mai 2018
"L'hôtel est très mauvais et le personnel était très désagréable. Remise en état de l'hôtel, il y a une très au sérieux. Un jour, il n'y avait pas d'eau sans que personne ne s'occupe de vous expliquer. Le petit déjeuner à la cuisine pour des clients, très peu de choix européens.  J'étais invité à visiter le pays, les gens étaient très chaleureux et je peux dire que c'était un séjour unique d'être au Cameroun. J'y retournerais sans problème, mais pas dans cet hôtel", février 2017
"Les gens qui travaillent à l'hôtel sont très serviables et aimables. La cuisine du restaurant est acceptable. Malheureusement, le tapis placés il y a plusieurs années n'était pas propre du tout. Si l'emplacement de l'hôtel ne pouvait rénover toutes ses chambres, son emplacement est parfait.", février 2017
"Très beau cadre : le lodge est situé au milieu de la forêt équatoriale. L'accueil y est chaleureux, la cuisine délicieuse et variée. De nombreuses activités sont proposées pour les grands et les petits : visite de la cacaoyère, chasse à la chenille...Un beau concept de lodge écolo-responsable !", juin 2013
"C'est un hôtel magnifique ! Vous sentirez la connexion avec la nature. Les chambres sont en général. C'est vrai qu'il n'y a pas d'eau courante, alors pourquoi vous voulez plus d'eau courante dans la jungle. Le personnel est disponible 24 heures plus tard et qu'ils vous pensez à prendre votre bateau. Nous avons dîné sur le balcon à la belle étoile que cet endroit est magnifique. Bien entendu, il n'y aura pas internet qui ont besoin dans la jungle qui vous aideront à vous n'avez qu'à vous connecter avec la nature en écoutant le bruit des oiseaux. . . . C'est digne", janvier 2017
Nous avons séjourné au environnement Lodge pour 1 nuits. L'hôtel en lui-même est vraiment charmant. Le personnel était tout son possible pour vous satisfaire. Les chambres sont propres et bien équipées. La seule chose qui manque c'est l'eau courante. Et peut-être devraient-ils essaient de faire davantage s'opposer restauration et boissons., octobre 2016
"Si vous êtes amoureux de la nature et la recherche de l'air frais, c'est l'endroit pour vous. J'ai été là avec ma famille il y a une semaine et j'ai adoré l'éco-tourisme concept de oveng Lodge. C'est un endroit simple et charmant et le travailleur était sympa car le service qui était super.", octobre 2014
J'ai séjourné à l'hôtel sauvages pour une semaine environ. J'ai été satisfait par le personnel et le professionnalisme du indiqué dans l'ensemble de l'hôtel et la chambre. Jusqu'à ma grande surprise il n'y avait jamais aucun problème avec l'eau courante et la plupart de celles de mes demandes et traités en temps voulu. Le seul problème que j'ai rencontré était la climatisation dans la chambre est un peu bruyante. et la connexion Wi-fi n'et sentait très fort dans ma chambre. Mais c'était un détail sans importance., mai 2016
"La chambre était belle et bien entretenue, avec l'air conditionné. L'hôtel a été récemment rénové et la salle de bain avait belle eau chaude. Très propre et le bar dispose d'une vue magnifique sur le lac ! Sans aucun doute un bon hôtel pour un séjour en prenant en compte les normes de Yaoundé !", août 2015
"Nous avons passé une nuit, l'hôtel est bien situé, près du centre-ville. Cependant, il est extrêmement vétuste, rien n'a changé depuis le début du 20ème siècle à mon avis. Les chambres sont grandes, mais pas très bien entretenu. La salle de bain n'avait que de l'eau chaude (brûlant) des robinets dans l'évier, il y avait un grand bol avec de l'eau à la température de la chambre, mais il n'y a rien de mélanger l'eau. Le restaurant propose un menu limité. Pour un hôtel de cette taille et est censé être l'un des meilleurs hôtels de Yaoundé, un total décevante. Le lit n'était pas confortable et le linge doit être de 10 ans !!!", octobre 2014
"Je suis allé dans les Deputes pour plus d'une semaine en août. Il n'y a eu aucun problème avec de l'eau ou pénuries d'électricité. La chambre est propre et spacieuse, le linge de lit est correct. Si vous prenez une chambre avec vue sur le lac esprit que cela peut être bruyant si elles sont donner des fêtes sur week-end. Plus l'étage, le plus propre et plus silencieux. Le e buffet du petit déjeuner est correct, bons croissants et des fruits pour l'estomac de gens occidentaux. La connexion wi-fi n'est pas terrible, comme partout au Cameroun.", août 2014
"Je ne comprends vraiment le problème les gens ont avec cet hôtel. Oui, le personnel sont un peu maussades. De plus, les chambres sont devant leur meilleur. Cela étant dit, le restaurant et le bar ont eu un récent, le café était bon et la vue sur le lac était très agréable. Pas mal pour le prix, on peut faire beaucoup pire au Cameroun.", février 2013
"Le seul véritable hôtel de Yoka donc difficile à éviter. Nuits bruyantes +++, ballet de voitures et éclats de voix nocturnes et matinaux. Petit déjeuner très sommaire. Pas de clim mais moustiquaires. Loin du centre-ville. Détail pittoresque, toutes les indications affichées sont en allemand. Le tarif modique rend tout cela acceptable.", novembre 2011
"Oveng Lodge est un réel havre de paix au cœur de la forêt tropicale du Cameroun.  L’endroit est fortement recommandé pour celui qui aime la nature et la simplicité.  L’accès est bien caché mais une instruction claire mène à une surprise d’autant plus grande : une jolie clairière avec le bâtiment principal qui surplombe une petite vallée ou se situe les différents bungalows en bois.  Le personnel du Lodge est très serviable et accueillant, tout comme les bungalows qui invitent à une nuit paisible.  Tout en bois, propre et avec un lit confortable, les bungalows restent proches de la nature avec leurs toilettes sèches.  Les repas sont tout simplement délicieux.  Commandé à l’avance, la cuisinière y met tout son soin et son savoir pour préparer des mets du terroir plein de saveurs", février 2015
"Très beau cadre,en immersion totale dans la foret.  Accueil très chaleureux,personnel à l'écoute et à la disposition des clients.La cuisine est délicieuse,félicitations au cuisinier. Après une longue de semaine de travail en ville avec bruit,embouteillage c'est le lieu idéal pour se couper tout ces tracasseries,rien que les chants des oiseaux nous bercent. Première expérience pour moi,j'ai découvert les toilettes sèches ,j'avais jamais vu ça ailleurs. Je soulignerais surtout le professionnalisme de Mme Helena Duran, Merci votre attention envers vos clients,merci pour votre dévotion,vraiment  merci Et dès qu'on aura l'occasion ,mon mari et moi reviendrons volontiers. Je confirme une fois de plus que le Cameroun est un très beau pays dommage que le tourisme ne soit pas valorisé. ", février 2015
" Merci pour votre accueil  , nous reviendront certainement très bientôt pour faire le reste des activités .le dépaysement fut total .. Les activités m ont beaucoup plu . Merci pour tout .c est avec plaisir que je reviendrai a Oveng.merci et  A bientôt ", novembre 2014
"Passé une nuit dimanche soir, avec des collegues, le repas du midi n'avait pas été prévu, on s'est contenté de pain avec du beurre.....la responsable aurait du nous dire honnetement qu'il n'y avait pas de personnel pour nous accueillir, et que rien n'était organisé et que cela ne servait a rien de venir cette fois ci  !!!!!!! De plus durant la promenade en jungle, l'accompagnateur local ( un ado....)ne connaissait pas les differents arbres de la jungle.!!!!!!! L'hebergement etait correct, par contre pour la toilette du lendemain faut pas etre gourmand en eau....( une petite bouilloire en plastique et pas de savon ni douche ) donc ça a été une toilette de cowboy vite fait.  La nuit était interessante, un concert complet jusqu'au petit matin, de toutes les bestioles qui peuplent", septembre 2014
"En immersion totale au cœur de la forêt équatoriale, OVENG LODGE est une aventure unique en son genre. Pour faire le vide, se couper de la civilisation (téléphone, désordre urbain et tout le stress qui en découle).La cuisine est bonne (surtout les grillades) .cadre agréable pour les pique niques en famille, en couple ou en solo. Le personnel est très accueillant et disponible 24h sur 24.j’en garde un souvenir agréable.", novembre 2013
"Le Sawa a pour point positif d’être situé dans un quartier calme, à proximité de l’aéroport ( 10 min en voiture), de proposer une navette gratuite,  des restaurants sympa autour, d’avoir un site sécurisé, une piscine ( en rénovation jusqu’au 10 juin 2018), une salle de gym et un jardin.  Le buffet du petit déjeuner ( non inclus dans le prix de la chambre, environ 10000fcfa), est bien garni, varié avec de la nourriture locale et occidentale. C’est le point fort de l’hôtel ainsi que le personnel très attentif et professionnel.  Les serviettes, les draps et les taies d’oreillers sont  bien propres et le ménage bien fait.  Par contre les chambres sont vraiment défraîchies. Le tapis vieux. La salle de bain et le carrelage  sont à refaire. Le wifi à améliorer car il se déconnecte", mai 2018
Boire et manger autour de la piscine pourrait être bien si la piscine était propre. Le fond est tout vert problème de nettoyage sûrement. Le jardin autour de la piscine est agréable avec des tables base et chaises. , mai 2018
"Un hôtel qui devait probablement être une référence il y a 20 ans. Mais aujourd’hui son état général est proche de la décrépitude.  La peinture est défraichie, les murs presque sales, la moquette d’un autre âge et les plafonds je n’en parle pas. L’isolation de la chambre est moyenne mais pas rédhibitoire. La qualité culinaire est plutôt correcte, les légumes d’une grande fraicheur et la viande de qualité. La sureté est assurée par des gardes à l’extérieur et dans l’enceinte de l’hôtel aussi. ", octobre 2017
"Belle piscine, chambre correcte, Buffet également.  Petit déjeuner moyen  Le wifi est aléatoire y compris dans le lobby.  Impossible de se connecter dans les chambres  Quel dommage car sinon j'aurai mis 4  ", avril 2017
"Une vraie ruche. Un hôtel bien vivant et réputé pour recevoir des conférences. Au vu des infrastructures locales un bon hôtel. Personnel disponible et agréable ( surtout le personnel masculin). Petit déjeuner Buffet cher mais assez complet, mais buffet du soir peu fourni.  Quartier agréable même si éloigné du centre mais de ce fait plus calme. Bon hôtel dans l'ensemble ", mars 2017
"J'ai séjourné dans une chambre et une suite à cet hôtel. La chambre était daté avec un horrible lit, j'ai déménagé à la suite en espérant que les choses vont aller mieux, pas. La suite était plus grande stilll mais il y avait un vieux meubles et sentait comme Musky.  L'hôtel a de beaux jardins avec une rivière qui la traverse et il y a la plage de sable noir. Cependant, l'hôtel était une distance de tous les autres sites et la ville. Le restaurant est cher avec la nourriture médiocre.", janvier 2013
"Welcome to a place where everyone is bitter and disgruntled. We stayed for two nights, most of the stay without water. Workers were rude and unpleasant. The food was ok. The garden at the hotel was nice but the pool under construction. ", mars 2020
Vous ne pouvez pas arrêter de chercher à la plage de sable noir. J'ai trouvé que l'hôtel était propre et bien tenu. Le personnel était très aider et je pense que c'était un bon rapport qualité/prix., février 2012
"  J'ai séjourné dans cet hôtel avec ma femme en 2006 novembre. L'endroit est un monument _[----]. Le lit est très inconfortable, il vous resterez éveillé toute la nuit. Le personnel parlait clients sont surtout Français, dans une ville qui est anglophone. menu au restaurant est qu'en français. Le service est vraiment horrible. La seule bonne chose cet hôtel, c'est qu'il est bien situé, même si elle n'a jamais en regardant dehors les propriétaires qui déchets qui traînent sur la plage peut être pris. Pour le prix que vous payez, vous mieux situés ailleurs.  ", novembre 2006
"Très bon accueil,  hôtel sécurisé avec des vigiles à tous les niveaux.  Côté litterie rien d'exceptionnel. Le mini coin salon fait la différence comparé aux autres hôtels de la place. Je vous conseille les chambres avec vue sur la piscine (vue imprenable sur le Port de Douala) surtout à partir du 4e étage.  Durant mon séjour la climatisation fonctionnait bien.  Room service très expéditif.   Par ailleurs j'ai profité de la piscine et de cours de tennis particuliers.   Néanmoins cet hôtel doit être rénové au delà de la peinture du bâtiment qui change régulièrement. Sans oublier l'état de la salle de bain avec baignoire qui n'est pas digne d'un hôtel de cette renommée.   Le Sawa peut passer à 5 étoiles s'il est bien rénové mais  ça nécessitera de lourds investissements.  ", septembre 2015
"En déplacement professionnel, nous avons passé plusieurs nuits à l'hôtel Sawa. L'accueil, la piscine, le restaurant et les chambres sont biens mais attention impossible d'avoir internet correctement...ce qui était essentiel pour nos rdv d'affaire a l'hôtel.  Dommage car c'est le seul bémol avec la TV qui n'est pas au point non plus (peu de chaine et qualité de réception médiocre). Les chambres sont donc relativement cher par rapport aux prestations!  Ce n'est pas grand chose mais cela a gâché notre séjour à l'hotel.", septembre 2015
"slt a vous je me pressente fred de klerk ivica résident a Casablanca au Maroc camerounais d origine je me présente comme homme d affaire aupres de vous pour l importation des decors dhotel aux couleurs du Maroc pour un esthétique de luxe au seins de votre hôtel structural bien vouloirs magreer l humble plaisir pour être plus proche de vos service en qualités multiples des décors pouvant accueillir plusieurs personnalités de différentes nationalités ce qui enregistrera des frais supplémentaires sur les taxes d hostellerie,,,,,, conctat002126 facebook fred de klerk ivica bien vouloir agreer monsieurs mes sinceres doleances", août 2015
"Hotel calme qui est un bon trait d'union entre l'Europe et l'Afrique. La situation est calme. Le personnel est affable. Le restaurant n'est pas très grand, je suppose parsec possibilités de manger en terrasse. Les chambres sont climatisées (utile dans cette ville). L'ATM est présent.  La qualité des chambres est toutefois du niveau d'un 3 étoiles version européenne.", mai 2015
"Hotel d'Etat repris au groupe Accor. Trés bien sécurisé gardien à chaque étage. Mais que le service et en particulier tout ce qui touche à la restauration est médiocre..Il faut absolument former le personnel! La piscine était inutilisable, le mobilier extérieur fait de plastique, heureusement que l'intérieur est plus soigné. Les chambres agréables, les salles de bain antiques, mais on arrive à se doucher, la clim fonctionne. Très bien situé et bénéficiant d'une vue sur le port, cet établissement pourrait être un merveilleux havre pour les hommes d'affaires.", mai 2015
"le sawa est un des hôtels internationaux de douala avec toutes les commodités du standard international. la piscine est très agréable, son jardin aussi le service est tenu, meme si on n'oublie jamais qu'on y vit au rythme africain ...", février 2017
"Proche de l'aéroport, cet hôtel est confortable, bien entretenu.  Les chambres sont spacieuses et climatisées.  Ménage fait tous les jours.  Hotel avec une service de sécurité de 3 niveaux.  Piscine et tennis. ", février 2017
L'hôtel SAWA est un hôtel faisant partir des renommées internationales. C'est un hôtel au décor exotique. Ne parlons pas de leurs chaleurs accueils. La sécurité y est 24 heures sur 24.Les chambres au décor époustouflant avec la climatisation qui fonctionne à merveille. J'y reviendrais par plaisir et par conviction. Merci une fois de plus à la qualité du service de l'hôtel SAWA., juillet 2016
"Un excellent accueil , un personnel à l'écoute , une salle de conférence propre et spacieuse, et le buffet ...parfait.  Je recommande vivement pour vos évènements, un endroit idéal dans la capitale économique du Cameroun.", juin 2016
"Après plusieurs mois où je ne séjournais plus à l hôtel Sawa, j'ai décidé d'y remettre mes pieds. Quelle n'a pas été ma surprise de constater que l'hôtel est rénové. J'ai dormi dans une chambre impeccable refaite à neuf. Les problèmes d'humidité semblaient résolus. La climatisation était réglable et le coffre-fort fonctionnel. Plusieurs de mes rendez-vous d'affaires se sont passés au bord de la piscine.", octobre 2016
"Situé à peine à 15 minutes de l'Aéroport, le Sawa est sur le papier un excellent hôtel. Et il est vrai que l'entrée et la sécurité renforcée sur le parking donne confiance. Personnel de réception serviable et de qualité  Mais c'est un hôtel et c'est donc sur cela qu'il faut l'évaluer et là hélas, c'est pas à la hauteur. Chambre avec une forte odeur d'humidité, mobilier hors d'usage jusque dans la salle de bain, une refection s'impose.  Quand au buffet de petit déjeuner, la quantité est la certes, mais à défaut de qualité, quelques produits chauds de plus auraient fait la différence.", juillet 2016
"Tout a mal commencé avec une résa faite par téléphone 4 jours avant notre arrivée, puis annulée par l'hôtel la veille ( lorsque nous avons appelé pour confirmer notre arrivée le lendemain) sous prétexte qu'ils étaient complets. Nous avons réservé ailleurs mais à notre arrivée à Limbe nous avons fait un tour à SEME pour nous renseigner sur place et là miracle...Ils avaient des appartements libres! Nous avons pris 1 appt de 2 chambres avec salon et 2 salles de bains avec baignoires à 90.000 fcfa la nuit , ainsi qu'un 2nd appt d'une chambre+salon+sdb avec baignoire à 50.000. Ils annoncent des appt VIP/de luxe mais il faut s'attendre à des appt juste corrects, rien de spécial, lits king size , salon assez grand avec canapé et 3 fauteuils+ frigo. Salle de bain avec des traces de", juillet 2015
Nous y étions pour une conférence pendant trois jours  Le cadre est idéal les salles bien équipée notamment si il y a des besoins de traduction en autres langues le plateau technique y est.  Les pauses café restent classiques mais les jus de fruits naturels étaient exquis rien à redire.  Les déjeuner au bords de la piscine donné une touche spéciale au séminaire.   De plus les  produits cuisines étaient bien frais c'est agréable.   Pour les chambres cette fois ci nous n'avions été.    Pour les conférences je recommande vivement , juin 2016
"Bonjour à tous, les disciples du bien manger ,bien boire ..... L hotel est décrit comme étant le meilleur de Douala .. Difficile à challenger je n'ai pas été ailleurs . Çe que je peux dire suite à mes deux nuits passées dans çet hotel c est que le niveau est moyen . Chambres ..j avais réservé une chambre exécutive ..qui était d un niveau Novotel 10 Ou 15 ans en arrière. L eau de la piscine était verte en arrivant ... Pas vert clair ..le vrai vert bien dense..je n ai pas eu accès au buffet du Pdj.. trop tard à 9 h 30... Le buffet du midi était pas mal pour 15000 fcfa.. Mais peu mieux faire.. Vu le nombre de dignitaires qu accueil l hotel celui ci est donc bien forcément bien sécurisé.. Bon ..comment conclure .. Le tout est toujours à ramener au prix ..je dirai pas au niveau .. J", avril 2016
"j'ai passé une nuit dans cet hôtel malgré moi, les chambres étaient pleines d'humidité, la moquette affreuse, on sentait la moisissure, le petit déjeuner médiocre. toutefois, il y'a des chambres sans moquettes qui sont plus ou moins acceptables", décembre 2015
"Un hôtel qui a un potentiel fou; très silencieux un parc arboré magnifique, les équipes d'accueil au front desk sont très compétentes, réactives et fortement orientées client. Les chambres quant à elles sont dans un état calamiteux et l'entretien vraiment pas à la hauteur des prétentions. La restauration n'est pas de bonne  qualité malgré un service 24/24 ce qui est un atout considérable à Douala ! Ne metez pas non plus vos vêtements précieux au pressing c'est une calamité !", mars 2015
Personnel peu accueillant. Buffet du restaurant trop cher vu la qualité des plats servis.chambres à  rénover avec une climatisation vétuste. Le seul point positif est la plage de sable.noir. Je n'y retournerai pas., mai 2015
"Hôtel propre, en résidence fermée avec la plage au bout du complexe. Nous avons pris une chambre avec lit d’appoint en sus. Nous étions dans un bungallow de plusieurs chambres très au calme (en semaine). Le petit déjeuner est compris mais pas terrible. Il y a un restaurant très correct dans l'hotel et une boîte de nuit.    Nous y retournerons pour sûr", février 2015
